Accession,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,Tyrs+Azy,Tyrs-Azy,WT+Azy,WT-Azy
sp|Q8BYH8|CHD9_MOUSE,0.7,2885,323856,Chromodomain-helicase-DNA-binding protein 9 OS=Mus musculus (Mouse) OX=10090 GN=Chd9 PE=1 SV=2,2,2,0,0,0,2
sp|A2AN08|UBR4_MOUSE,29.9,5180,572283,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus (Mouse) OX=10090 GN=Ubr4 PE=1 SV=1,232,232,25,0,78,129
sp|A2APV2|FMNL2_MOUSE,2.5,1086,123100,Formin-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Fmnl2 PE=1 SV=2,2,2,2,0,0,0
sp|Q6ZPF4|FMNL3_MOUSE,2.6,1028,117167,Formin-like protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Fmnl3 PE=1 SV=2,2,2,2,0,0,0
sp|A2AT37|RENT2_MOUSE,2.2,1269,147551,Regulator of nonsense transcripts 2 OS=Mus musculus (Mouse) OX=10090 GN=Upf2 PE=1 SV=1,4,4,2,0,1,1
sp|A2BH40|ARI1A_MOUSE,4.5,2283,242089,AT-rich interactive domain-containing protein 1A OS=Mus musculus (Mouse) OX=10090 GN=Arid1a PE=1 SV=1,11,10,0,0,5,6
sp|A8C756|THADA_MOUSE,0.9,1938,217287,Thyroid adenoma-associated protein homolog OS=Mus musculus (Mouse) OX=10090 GN=Thada PE=1 SV=1,5,5,1,0,2,2
sp|B0V2N1|PTPRS_MOUSE,21.7,1907,211901,Receptor-type tyrosine-protein phosphatase S OS=Mus musculus (Mouse) OX=10090 GN=Ptprs PE=1 SV=1,86,72,30,16,21,19
sp|B1AVY7|KI16B_MOUSE,2.4,1312,150056,Kinesin-like protein KIF16B OS=Mus musculus (Mouse) OX=10090 GN=Kif16b PE=1 SV=1,3,2,2,0,1,0
sp|B1AY13|UBP24_MOUSE,2.6,2617,293998,Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus (Mouse) OX=10090 GN=Usp24 PE=1 SV=1,7,7,0,0,2,5
sp|B1AZA5|TM245_MOUSE,4.1,876,97356,Transmembrane protein 245 OS=Mus musculus (Mouse) OX=10090 GN=Tmem245 PE=1 SV=1,6,6,2,1,1,2
sp|B1AZI6|THOC2_MOUSE,2.1,1594,182771,THO complex subunit 2 OS=Mus musculus (Mouse) OX=10090 GN=Thoc2 PE=1 SV=1,4,4,3,0,0,1
sp|B2RQC6|PYR1_MOUSE,29.8,2225,243236,CAD protein OS=Mus musculus (Mouse) OX=10090 GN=Cad PE=1 SV=1,117,117,28,2,42,45
sp|B2RXS4|PLXB2_MOUSE,13.8,1842,206228,Plexin-B2 OS=Mus musculus (Mouse) OX=10090 GN=Plxnb2 PE=1 SV=1,54,52,15,6,15,18
sp|B2RY56|RBM25_MOUSE,3,838,99551,RNA-binding protein 25 OS=Mus musculus (Mouse) OX=10090 GN=Rbm25 PE=1 SV=2,2,2,2,0,0,0
sp|C0HKE1|H2A1B_MOUSE,26.9,130,14135,Histone H2A type 1-B OS=Mus musculus (Mouse) OX=10090 GN=H2ac4 PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE2|H2A1C_MOUSE,26.9,130,14135,Histone H2A type 1-C OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2ac PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE3|H2A1D_MOUSE,26.9,130,14135,Histone H2A type 1-D OS=Mus musculus (Mouse) OX=10090 GN=H2ac7 PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE4|H2A1E_MOUSE,26.9,130,14135,Histone H2A type 1-E OS=Mus musculus (Mouse) OX=10090 GN=H2ac8 PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE5|H2A1G_MOUSE,26.9,130,14135,Histone H2A type 1-G OS=Mus musculus (Mouse) OX=10090 GN=H2ac11 PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE6|H2A1I_MOUSE,26.9,130,14135,Histone H2A type 1-I OS=Mus musculus (Mouse) OX=10090 GN=H2ac13 PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE7|H2A1N_MOUSE,26.9,130,14135,Histone H2A type 1-N OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2an PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE8|H2A1O_MOUSE,26.9,130,14135,Histone H2A type 1-O OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2ao PE=1 SV=1,16,6,6,2,5,3
sp|C0HKE9|H2A1P_MOUSE,26.9,130,14135,Histone H2A type 1-P OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2ap PE=1 SV=1,16,6,6,2,5,3
sp|Q64523|H2A2C_MOUSE,27.1,129,13988,Histone H2A type 2-C OS=Mus musculus (Mouse) OX=10090 GN=Hist2h2ac PE=1 SV=3,16,6,6,2,5,3
sp|Q6GSS7|H2A2A_MOUSE,26.9,130,14095,Histone H2A type 2-A OS=Mus musculus (Mouse) OX=10090 GN=Hist2h2aa1 PE=1 SV=3,16,6,6,2,5,3
sp|Q8BFU2|H2A3_MOUSE,26.9,130,14121,Histone H2A type 3 OS=Mus musculus (Mouse) OX=10090 GN=Hist3h2a PE=1 SV=3,16,6,6,2,5,3
sp|Q8CGP5|H2A1F_MOUSE,26.9,130,14161,Histone H2A type 1-F OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2af PE=1 SV=3,16,6,6,2,5,3
sp|Q8CGP6|H2A1H_MOUSE,27.3,128,13950,Histone H2A type 1-H OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2ah PE=1 SV=3,16,6,6,2,5,3
sp|Q8CGP7|H2A1K_MOUSE,26.9,130,14149,Histone H2A type 1-K OS=Mus musculus (Mouse) OX=10090 GN=H2ac15 PE=1 SV=3,16,6,6,2,5,3
sp|Q8R1M2|H2AJ_MOUSE,27.1,129,14045,Histone H2A.J OS=Mus musculus (Mouse) OX=10090 GN=H2afj PE=1 SV=1,16,6,6,2,5,3
tr|Q8CGP4|Q8CGP4_MOUSE,27.1,129,14056,Histone H2A OS=Mus musculus (Mouse) OX=10090 GN=H2ac1 PE=1 SV=1,16,6,6,2,5,3
sp|D3YXG0|HMCN1_MOUSE,0.8,5634,611555,Hemicentin-1 OS=Mus musculus (Mouse) OX=10090 GN=Hmcn1 PE=1 SV=1,3,3,0,0,1,2
sp|E2JF22|PIEZ1_MOUSE,2.2,2547,291999,Piezo-type mechanosensitive ion channel component 1 OS=Mus musculus (Mouse) OX=10090 GN=Piezo1 PE=1 SV=1,5,5,1,0,1,3
sp|E9PVA8|GCN1_MOUSE,10.7,2671,293017,eIF-2-alpha kinase activator GCN1 OS=Mus musculus (Mouse) OX=10090 GN=Gcn1 PE=1 SV=1,42,42,14,0,14,14
sp|E9PVX6|KI67_MOUSE,3.6,3177,350860,Proliferation marker protein Ki-67 OS=Mus musculus (Mouse) OX=10090 GN=Mki67 PE=1 SV=1,9,9,0,0,0,9
sp|E9PZJ8|ASCC3_MOUSE,5.1,2198,250554,Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Ascc3 PE=1 SV=1,13,13,4,0,3,6
sp|E9Q3L2|PI4KA_MOUSE,8,2105,237039,Phosphatidylinositol 4-kinase alpha OS=Mus musculus (Mouse) OX=10090 GN=Pi4ka PE=1 SV=2,22,22,7,0,6,9
sp|E9Q414|APOB_MOUSE,1,4505,509426,Apolipoprotein B-100 OS=Mus musculus (Mouse) OX=10090 GN=Apob PE=1 SV=1,8,8,0,1,3,4
sp|E9Q4N7|ARI1B_MOUSE,1.6,2244,237793,AT-rich interactive domain-containing protein 1B OS=Mus musculus (Mouse) OX=10090 GN=Arid1b PE=1 SV=1,3,2,0,0,1,2
sp|E9Q555|RN213_MOUSE,14.2,5152,584777,E3 ubiquitin-protein ligase RNF213 OS=Mus musculus (Mouse) OX=10090 GN=Rnf213 PE=1 SV=2,83,83,3,0,20,60
sp|E9Q557|DESP_MOUSE,7.1,2883,332908,Desmoplakin OS=Mus musculus (Mouse) OX=10090 GN=Dsp PE=1 SV=1,29,29,0,20,6,3
sp|E9Q634|MYO1E_MOUSE,4.5,1107,126816,Unconventional myosin-Ie OS=Mus musculus (Mouse) OX=10090 GN=Myo1e PE=1 SV=1,4,4,3,0,0,1
sp|E9Q735|UBE4A_MOUSE,5.8,1028,118197,Ubiquitin conjugation factor E4 A OS=Mus musculus (Mouse) OX=10090 GN=Ube4a PE=1 SV=1,8,8,0,0,5,3
sp|F8VQB6|MYO10_MOUSE,1.1,2062,237320,Unconventional myosin-X OS=Mus musculus (Mouse) OX=10090 GN=Myo10 PE=1 SV=1,2,2,2,0,0,0
sp|G3X9K3|BIG1_MOUSE,10.1,1846,208497,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Arfgef1 PE=1 SV=1,26,13,2,0,12,12
sp|G5E829|AT2B1_MOUSE,13.2,1220,134745,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus (Mouse) OX=10090 GN=Atp2b1 PE=1 SV=1,19,19,2,0,6,11
sp|G5E870|TRIPC_MOUSE,6.5,2025,224125,E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus (Mouse) OX=10090 GN=Trip12 PE=1 SV=1,15,15,7,0,3,5
sp|O08528|HXK2_MOUSE,22,917,102534,Hexokinase-2 OS=Mus musculus (Mouse) OX=10090 GN=Hk2 PE=1 SV=1,39,32,11,2,11,15
sp|O08547|SC22B_MOUSE,20.9,215,24740,Vesicle-trafficking protein SEC22b OS=Mus musculus (Mouse) OX=10090 GN=Sec22b PE=1 SV=3,4,4,4,0,0,0
sp|O08553|DPYL2_MOUSE,6.6,572,62277,Dihydropyrimidinase-related protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Dpysl2 PE=1 SV=2,3,3,3,0,0,0
sp|O08663|MAP2_MOUSE,6.5,478,52921,Methionine aminopeptidase 2 OS=Mus musculus (Mouse) OX=10090 GN=Metap2 PE=1 SV=1,4,4,2,0,2,0
sp|O08709|PRDX6_MOUSE,28.6,224,24870,Peroxiredoxin-6 OS=Mus musculus (Mouse) OX=10090 GN=Prdx6 PE=1 SV=3,8,8,6,0,2,0
sp|O08747|UNC5C_MOUSE,8.6,931,103062,Netrin receptor UNC5C OS=Mus musculus (Mouse) OX=10090 GN=Unc5c PE=1 SV=1,13,13,3,2,4,4
sp|O08749|DLDH_MOUSE,5.9,509,54272,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Dld PE=1 SV=2",2,2,2,0,0,0
sp|O08759|UBE3A_MOUSE,3.8,870,99818,Ubiquitin-protein ligase E3A OS=Mus musculus (Mouse) OX=10090 GN=Ube3a PE=1 SV=2,2,2,2,0,0,0
sp|O08788|DCTN1_MOUSE,3.5,1281,141674,Dynactin subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Dctn1 PE=1 SV=3,3,3,3,0,0,0
sp|O08795|GLU2B_MOUSE,5.6,521,58792,Glucosidase 2 subunit beta OS=Mus musculus (Mouse) OX=10090 GN=Prkcsh PE=1 SV=1,2,2,2,0,0,0
sp|O08807|PRDX4_MOUSE,29.6,274,31052,Peroxiredoxin-4 OS=Mus musculus (Mouse) OX=10090 GN=Prdx4 PE=1 SV=1,22,12,7,4,7,4
sp|O08810|U5S1_MOUSE,13.7,971,109359,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus (Mouse) OX=10090 GN=Eftud2 PE=1 SV=1,12,12,11,0,0,1
sp|O08992|SDCB1_MOUSE,28.4,299,32379,Syntenin-1 OS=Mus musculus (Mouse) OX=10090 GN=Sdcbp PE=1 SV=1,15,15,6,1,4,4
sp|O09061|PSB1_MOUSE,11.2,240,26372,Proteasome subunit beta type-1 OS=Mus musculus (Mouse) OX=10090 GN=Psmb1 PE=1 SV=1,3,3,2,0,1,0
sp|O09106|HDAC1_MOUSE,8.9,482,55074,Histone deacetylase 1 OS=Mus musculus (Mouse) OX=10090 GN=Hdac1 PE=1 SV=1,4,1,3,0,0,1
sp|O09167|RL21_MOUSE,16.2,160,18562,60S ribosomal protein L21 OS=Mus musculus (Mouse) OX=10090 GN=Rpl21 PE=1 SV=3,9,9,2,2,2,3
sp|O35129|PHB2_MOUSE,19.7,299,33296,Prohibitin-2 OS=Mus musculus (Mouse) OX=10090 GN=Phb2 PE=1 SV=1,6,6,5,0,1,0
sp|O35286|DHX15_MOUSE,14.6,795,91006,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus (Mouse) OX=10090 GN=Dhx15 PE=1 SV=2,17,17,9,1,3,4
sp|O35316|SC6A6_MOUSE,4.5,621,69855,Sodium- and chloride-dependent taurine transporter OS=Mus musculus (Mouse) OX=10090 GN=Slc6a6 PE=1 SV=2,8,8,2,1,2,3
sp|O35343|IMA3_MOUSE,5.2,521,57922,Importin subunit alpha-3 OS=Mus musculus (Mouse) OX=10090 GN=Kpna4 PE=1 SV=1,2,2,2,0,0,0
sp|O35375|NRP2_MOUSE,5.8,931,104630,Neuropilin-2 OS=Mus musculus (Mouse) OX=10090 GN=Nrp2 PE=1 SV=2,8,8,4,1,0,3
sp|O35379|MRP1_MOUSE,2.2,1528,171183,Multidrug resistance-associated protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Abcc1 PE=1 SV=1,2,2,0,0,0,2
sp|O35382|EXOC4_MOUSE,3.5,975,110544,Exocyst complex component 4 OS=Mus musculus (Mouse) OX=10090 GN=Exoc4 PE=1 SV=2,3,3,3,0,0,0
sp|O35405|PLD3_MOUSE,15.4,488,54388,5'-3' exonuclease PLD3 OS=Mus musculus (Mouse) OX=10090 GN=Pld3 PE=1 SV=1,6,6,5,0,1,0
sp|O35454|CLCN6_MOUSE,3.9,870,96979,Chloride transport protein 6 OS=Mus musculus (Mouse) OX=10090 GN=Clcn6 PE=1 SV=1,4,4,0,0,1,3
sp|O35516|NOTC2_MOUSE,1,2473,265631,Neurogenic locus notch homolog protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Notch2 PE=1 SV=2,2,2,0,0,0,2
sp|O35593|PSDE_MOUSE,6.5,310,34577,26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus (Mouse) OX=10090 GN=Psmd14 PE=1 SV=2,3,3,2,0,0,1
sp|O35607|BMPR2_MOUSE,5.6,1038,115019,Bone morphogenetic protein receptor type-2 OS=Mus musculus (Mouse) OX=10090 GN=Bmpr2 PE=1 SV=1,10,10,2,2,3,3
sp|O35609|SCAM3_MOUSE,9.2,349,38458,Secretory carrier-associated membrane protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Scamp3 PE=1 SV=3,2,2,2,0,0,0
sp|O35638|STAG2_MOUSE,2.1,1231,141280,Cohesin subunit SA-2 OS=Mus musculus (Mouse) OX=10090 GN=Stag2 PE=1 SV=3,5,5,2,0,1,2
sp|O35643|AP1B1_MOUSE,13.9,943,103934,AP-1 complex subunit beta-1 OS=Mus musculus (Mouse) OX=10090 GN=Ap1b1 PE=1 SV=2,13,5,13,0,0,0
sp|O35682|MYADM_MOUSE,8.4,320,35284,Myeloid-associated differentiation marker OS=Mus musculus (Mouse) OX=10090 GN=Myadm PE=1 SV=2,4,4,1,0,1,2
sp|O35737|HNRH1_MOUSE,20,449,49199,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus (Mouse) OX=10090 GN=Hnrnph1 PE=1 SV=3,11,2,6,1,2,2
sp|O35841|API5_MOUSE,5.6,504,56784,Apoptosis inhibitor 5 OS=Mus musculus (Mouse) OX=10090 GN=Api5 PE=1 SV=2,3,3,3,0,0,0
sp|O35855|BCAT2_MOUSE,8.4,393,44127,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Bcat2 PE=1 SV=2",3,3,3,0,0,0
sp|O35864|CSN5_MOUSE,10.5,334,37548,COP9 signalosome complex subunit 5 OS=Mus musculus (Mouse) OX=10090 GN=Cops5 PE=1 SV=3,3,3,3,0,0,0
sp|O35887|CALU_MOUSE,27,315,37063,Calumenin OS=Mus musculus (Mouse) OX=10090 GN=Calu PE=1 SV=1,6,6,6,0,0,0
sp|O35927|CTND2_MOUSE,1.8,1247,134998,Catenin delta-2 OS=Mus musculus (Mouse) OX=10090 GN=Ctnnd2 PE=1 SV=1,4,1,2,1,1,0
sp|O35963|RB33B_MOUSE,14.8,229,25766,Ras-related protein Rab-33B OS=Mus musculus (Mouse) OX=10090 GN=Rab33b PE=1 SV=1,11,5,4,2,2,3
sp|O54734|OST48_MOUSE,32,441,49027,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus (Mouse) OX=10090 GN=Ddost PE=1 SV=2,8,8,8,0,0,0
sp|O54774|AP3D1_MOUSE,21.5,1199,135080,AP-3 complex subunit delta-1 OS=Mus musculus (Mouse) OX=10090 GN=Ap3d1 PE=1 SV=1,45,45,10,2,17,16
sp|O54782|MA2B2_MOUSE,1.8,1018,115608,Epididymis-specific alpha-mannosidase OS=Mus musculus (Mouse) OX=10090 GN=Man2b2 PE=1 SV=2,2,2,2,0,0,0
sp|O54833|CSK22_MOUSE,24.3,350,41215,Casein kinase II subunit alpha' OS=Mus musculus (Mouse) OX=10090 GN=Csnk2a2 PE=1 SV=1,5,5,5,0,0,0
sp|O54931|AKAP2_MOUSE,2.8,893,98577,A-kinase anchor protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Akap2 PE=1 SV=3,2,2,2,0,0,0
sp|O54950|AAKG1_MOUSE,6.4,330,37520,5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus (Mouse) OX=10090 GN=Prkag1 PE=1 SV=2,2,2,2,0,0,0
sp|O54984|ASNA_MOUSE,10.1,348,38822,ATPase Asna1 OS=Mus musculus (Mouse) OX=10090 GN=Asna1 PE=1 SV=2,3,3,2,0,0,1
sp|O54988|SLK_MOUSE,2.6,1233,141455,STE20-like serine/threonine-protein kinase OS=Mus musculus (Mouse) OX=10090 GN=Slk PE=1 SV=2,2,2,0,0,0,2
sp|O55023|IMPA1_MOUSE,7.9,277,30436,Inositol monophosphatase 1 OS=Mus musculus (Mouse) OX=10090 GN=Impa1 PE=1 SV=1,4,4,2,0,1,1
sp|O55029|COPB2_MOUSE,27.6,905,102448,Coatomer subunit beta' OS=Mus musculus (Mouse) OX=10090 GN=Copb2 PE=1 SV=2,23,23,16,0,2,5
sp|O55131|SEPT7_MOUSE,16.3,436,50549,Septin-7 OS=Mus musculus (Mouse) OX=10090 GN=Septin7 PE=1 SV=1,9,6,6,0,2,1
sp|O55135|IF6_MOUSE,14.3,245,26511,Eukaryotic translation initiation factor 6 OS=Mus musculus (Mouse) OX=10090 GN=Eif6 PE=1 SV=2,3,3,3,0,0,0
sp|O55137|ACOT1_MOUSE,5.3,419,46135,Acyl-coenzyme A thioesterase 1 OS=Mus musculus (Mouse) OX=10090 GN=Acot1 PE=1 SV=1,2,2,2,0,0,0
sp|Q9QYR9|ACOT2_MOUSE,4.9,453,49656,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Acot2 PE=1 SV=2",2,2,2,0,0,0
sp|O55143|AT2A2_MOUSE,24.6,1044,114857,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus (Mouse) OX=10090 GN=Atp2a2 PE=1 SV=2,61,61,14,4,19,24
sp|O55201|SPT5H_MOUSE,4,1082,120663,Transcription elongation factor SPT5 OS=Mus musculus (Mouse) OX=10090 GN=Supt5h PE=1 SV=1,3,3,3,0,0,0
sp|O55234|PSB5_MOUSE,18.9,264,28532,Proteasome subunit beta type-5 OS=Mus musculus (Mouse) OX=10090 GN=Psmb5 PE=1 SV=3,4,4,4,0,0,0
sp|O70133|DHX9_MOUSE,19.2,1380,149473,ATP-dependent RNA helicase A OS=Mus musculus (Mouse) OX=10090 GN=Dhx9 PE=1 SV=2,57,57,20,2,15,20
sp|O70152|DPM1_MOUSE,20,260,29174,Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Dpm1 PE=1 SV=1,9,9,3,0,4,2
sp|O70194|EIF3D_MOUSE,12,548,63988,Eukaryotic translation initiation factor 3 subunit D OS=Mus musculus (Mouse) OX=10090 GN=Eif3d PE=1 SV=2,7,7,2,0,0,5
sp|O70228|ATP9A_MOUSE,5.4,1047,118607,Probable phospholipid-transporting ATPase IIA OS=Mus musculus (Mouse) OX=10090 GN=Atp9a PE=1 SV=3,8,8,3,1,3,1
sp|O70251|EF1B_MOUSE,39.6,225,24693,Elongation factor 1-beta OS=Mus musculus (Mouse) OX=10090 GN=Eef1b PE=1 SV=5,11,7,5,2,2,2
sp|O70310|NMT1_MOUSE,19.6,496,56888,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus (Mouse) OX=10090 GN=Nmt1 PE=1 SV=1,16,16,8,1,4,3
sp|O70318|E41L2_MOUSE,4.1,988,109938,Band 4.1-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Epb41l2 PE=1 SV=2,3,3,3,0,0,0
sp|O70435|PSA3_MOUSE,9.4,255,28405,Proteasome subunit alpha type-3 OS=Mus musculus (Mouse) OX=10090 GN=Psma3 PE=1 SV=3,2,2,2,0,0,0
sp|O70439|STX7_MOUSE,11.1,261,29820,Syntaxin-7 OS=Mus musculus (Mouse) OX=10090 GN=Stx7 PE=1 SV=3,2,2,0,0,2,0
sp|O70503|DHB12_MOUSE,27.9,312,34741,Very-long-chain 3-oxoacyl-CoA reductase OS=Mus musculus (Mouse) OX=10090 GN=Hsd17b12 PE=1 SV=1,9,9,8,0,0,1
sp|O70572|NSMA_MOUSE,5.7,419,47466,Sphingomyelin phosphodiesterase 2 OS=Mus musculus (Mouse) OX=10090 GN=Smpd2 PE=1 SV=1,2,2,0,0,0,2
sp|O88342|WDR1_MOUSE,34.7,606,66406,WD repeat-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Wdr1 PE=1 SV=3,18,18,13,0,2,3
sp|O88351|IKKB_MOUSE,2.9,757,86689,Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Mus musculus (Mouse) OX=10090 GN=Ikbkb PE=1 SV=1,2,1,2,0,0,0
sp|O88447|KLC1_MOUSE,16.8,541,61449,Kinesin light chain 1 OS=Mus musculus (Mouse) OX=10090 GN=Klc1 PE=1 SV=3,7,7,7,0,0,0
sp|O88455|DHCR7_MOUSE,12.3,471,53918,7-dehydrocholesterol reductase OS=Mus musculus (Mouse) OX=10090 GN=Dhcr7 PE=1 SV=1,9,9,5,0,2,2
sp|O88487|DC1I2_MOUSE,6.5,612,68393,Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus (Mouse) OX=10090 GN=Dync1i2 PE=1 SV=1,4,4,2,0,1,1
sp|O88532|ZFR_MOUSE,4.3,1074,116858,Zinc finger RNA-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Zfr PE=1 SV=2,5,5,1,0,2,2
sp|O88569|ROA2_MOUSE,33.4,353,37402,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpa2b1 PE=1 SV=2,21,21,9,1,5,6
sp|O88685|PRS6A_MOUSE,12,442,49548,26S proteasome regulatory subunit 6A OS=Mus musculus (Mouse) OX=10090 GN=Psmc3 PE=1 SV=2,4,4,4,0,0,0
sp|O88693|CEGT_MOUSE,13.2,394,44838,Ceramide glucosyltransferase OS=Mus musculus (Mouse) OX=10090 GN=Ugcg PE=1 SV=1,8,8,3,2,2,1
sp|O88738|BIRC6_MOUSE,21,4882,532164,Baculoviral IAP repeat-containing protein 6 OS=Mus musculus (Mouse) OX=10090 GN=Birc6 PE=1 SV=2,134,134,9,2,50,73
sp|O88811|STAM2_MOUSE,4.6,523,57454,Signal transducing adapter molecule 2 OS=Mus musculus (Mouse) OX=10090 GN=Stam2 PE=1 SV=1,2,2,2,0,0,0
sp|O88844|IDHC_MOUSE,15.5,414,46674,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Idh1 PE=1 SV=2,6,5,6,0,0,0
sp|O88958|GNPI1_MOUSE,7.3,289,32549,Glucosamine-6-phosphate isomerase 1 OS=Mus musculus (Mouse) OX=10090 GN=Gnpda1 PE=1 SV=3,2,2,2,0,0,0
sp|O88983|STX8_MOUSE,6.4,236,26925,Syntaxin-8 OS=Mus musculus (Mouse) OX=10090 GN=Stx8 PE=1 SV=1,5,5,1,2,1,1
sp|O89017|LGMN_MOUSE,10.8,435,49372,Legumain OS=Mus musculus (Mouse) OX=10090 GN=Lgmn PE=1 SV=1,4,4,3,0,1,0
sp|O89023|TPP1_MOUSE,4.8,562,61341,Tripeptidyl-peptidase 1 OS=Mus musculus (Mouse) OX=10090 GN=Tpp1 PE=1 SV=2,2,2,2,0,0,0
sp|O89051|ITM2B_MOUSE,14.7,266,30260,Integral membrane protein 2B OS=Mus musculus (Mouse) OX=10090 GN=Itm2b PE=1 SV=1,3,3,3,0,0,0
sp|O89079|COPE_MOUSE,11,308,34567,Coatomer subunit epsilon OS=Mus musculus (Mouse) OX=10090 GN=Cope PE=1 SV=3,3,3,3,0,0,0
